Goal ( 0.13 , 0.13 ) Distance 0.183847763109
Goal ( 0.13 , 0.16 ) Distance 0.206155281281
Goal ( 0.13 , 0.19 ) Distance 0.230217288664
Goal ( 0.13 , 0.22 ) Distance 0.255538646784
Goal ( 0.13 , 0.25 ) Distance 0.281780056072
Goal ( 0.13 , 0.28 ) Distance 0.308706980809
Goal ( 0.13 , 0.31 ) Distance 0.336154726279
Goal ( 0.13 , 0.33999999999999997 ) Distance 0.364005494464
Goal ( 0.13 , 0.37 ) Distance 0.392173431023
Goal ( 0.13 , 0.4 ) Distance 0.420594816896
Goal ( 0.13 , 0.42999999999999994 ) Distance 0.449221548904
Goal ( 0.13 , 0.45999999999999996 ) Distance 0.478016736109
Goal ( 0.13 , 0.49 ) Distance 0.506951674225
Goal ( 0.13 , 0.52 ) Distance 0.53600373133
Goal ( 0.16 , 0.13 ) Distance 0.206155281281
Goal ( 0.16 , 0.16 ) Distance 0.22627416998
Goal ( 0.16 , 0.19 ) Distance 0.248394846967
Goal ( 0.16 , 0.22 ) Distance 0.272029410175
Goal ( 0.16 , 0.25 ) Distance 0.296816441593
Goal ( 0.16 , 0.28 ) Distance 0.322490309932
Goal ( 0.16 , 0.31 ) Distance 0.34885527085
Goal ( 0.16 , 0.33999999999999997 ) Distance 0.375765884561
Goal ( 0.16 , 0.37 ) Distance 0.403112887415
Goal ( 0.16 , 0.4 ) Distance 0.430813184571
Goal ( 0.16 , 0.42999999999999994 ) Distance 0.458802789878
Goal ( 0.16 , 0.45999999999999996 ) Distance 0.487031826475
Goal ( 0.16 , 0.49 ) Distance 0.515460958754
Goal ( 0.16 , 0.52 ) Distance 0.544058820349
Goal ( 0.19 , 0.13 ) Distance 0.230217288664
Goal ( 0.19 , 0.16 ) Distance 0.248394846967
Goal ( 0.19 , 0.19 ) Distance 0.268700576851
Goal ( 0.19 , 0.22 ) Distance 0.290688837075
Goal ( 0.19 , 0.25 ) Distance 0.314006369362
Goal ( 0.19 , 0.28 ) Distance 0.338378486314
Goal ( 0.19 , 0.31 ) Distance 0.363593179254
Goal ( 0.19 , 0.33999999999999997 ) Distance 0.389486841883
Goal ( 0.19 , 0.37 ) Distance 0.415932686862
Goal ( 0.19 , 0.4 ) Distance 0.44283179651
Goal ( 0.19 , 0.42999999999999994 ) Distance 0.470106370942
Goal ( 0.19 , 0.45999999999999996 ) Distance 0.497694685525
Goal ( 0.19 , 0.49 ) Distance 0.525547333739
Goal ( 0.22 , 0.13 ) Distance 0.255538646784
Goal ( 0.22 , 0.16 ) Distance 0.272029410175
Goal ( 0.22 , 0.19 ) Distance 0.290688837075
Goal ( 0.22 , 0.22 ) Distance 0.311126983722
Goal ( 0.22 , 0.25 ) Distance 0.333016516107
Goal ( 0.22 , 0.28 ) Distance 0.356089876295
Goal ( 0.22 , 0.31 ) Distance 0.380131556175
Goal ( 0.22 , 0.33999999999999997 ) Distance 0.404969134626
Goal ( 0.22 , 0.37 ) Distance 0.430464865001
Goal ( 0.22 , 0.4 ) Distance 0.456508488421
Goal ( 0.22 , 0.42999999999999994 ) Distance 0.483011387029
Goal ( 0.22 , 0.45999999999999996 ) Distance 0.509901951359
Goal ( 0.22 , 0.49 ) Distance 0.53712196008
Goal ( 0.25 , 0.13 ) Distance 0.281780056072
Goal ( 0.25 , 0.16 ) Distance 0.296816441593
Goal ( 0.25 , 0.19 ) Distance 0.314006369362
Goal ( 0.25 , 0.22 ) Distance 0.333016516107
Goal ( 0.25 , 0.25 ) Distance 0.353553390593
Goal ( 0.25 , 0.28 ) Distance 0.375366487582
Goal ( 0.25 , 0.31 ) Distance 0.398246155035
Goal ( 0.25 , 0.33999999999999997 ) Distance 0.42201895692
Goal ( 0.25 , 0.37 ) Distance 0.446542271235
Goal ( 0.25 , 0.4 ) Distance 0.471699056603
Goal ( 0.25 , 0.42999999999999994 ) Distance 0.497393204618
Goal ( 0.25 , 0.45999999999999996 ) Distance 0.523545604508
Goal ( 0.28 , 0.13 ) Distance 0.308706980809
Goal ( 0.28 , 0.16 ) Distance 0.322490309932
Goal ( 0.28 , 0.19 ) Distance 0.338378486314
Goal ( 0.28 , 0.22 ) Distance 0.356089876295
Goal ( 0.28 , 0.25 ) Distance 0.375366487582
Goal ( 0.28 , 0.28 ) Distance 0.395979797464
Goal ( 0.28 , 0.31 ) Distance 0.417731971484
Goal ( 0.28 , 0.33999999999999997 ) Distance 0.440454310911
Goal ( 0.28 , 0.37 ) Distance 0.464004310325
Goal ( 0.28 , 0.4 ) Distance 0.488262224629
Goal ( 0.28 , 0.42999999999999994 ) Distance 0.513127664427
Goal ( 0.28 , 0.45999999999999996 ) Distance 0.538516480713
Goal ( 0.31 , 0.13 ) Distance 0.336154726279
Goal ( 0.31 , 0.16 ) Distance 0.34885527085
Goal ( 0.31 , 0.19 ) Distance 0.363593179254
Goal ( 0.31 , 0.22 ) Distance 0.380131556175
Goal ( 0.31 , 0.25 ) Distance 0.398246155035
Goal ( 0.31 , 0.28 ) Distance 0.417731971484
Goal ( 0.31 , 0.31 ) Distance 0.438406204336
Goal ( 0.31 , 0.33999999999999997 ) Distance 0.460108682813
Goal ( 0.31 , 0.37 ) Distance 0.482700735446
Goal ( 0.31 , 0.4 ) Distance 0.506063237155
Goal ( 0.31 , 0.42999999999999994 ) Distance 0.530094331228
Goal ( 0.33999999999999997 , 0.13 ) Distance 0.364005494464
Goal ( 0.33999999999999997 , 0.16 ) Distance 0.375765884561
Goal ( 0.33999999999999997 , 0.19 ) Distance 0.389486841883
Goal ( 0.33999999999999997 , 0.22 ) Distance 0.404969134626
Goal ( 0.33999999999999997 , 0.25 ) Distance 0.42201895692
Goal ( 0.33999999999999997 , 0.28 ) Distance 0.440454310911
Goal ( 0.33999999999999997 , 0.31 ) Distance 0.460108682813
Goal ( 0.33999999999999997 , 0.33999999999999997 ) Distance 0.480832611207
Goal ( 0.33999999999999997 , 0.37 ) Distance 0.502493781056
Goal ( 0.33999999999999997 , 0.4 ) Distance 0.524976189936
Goal ( 0.33999999999999997 , 0.42999999999999994 ) Distance 0.548178802947
Goal ( 0.417348 , 0.00374187 ) Distance 0.417365 Score 0.417365223169
Goal ( 0.302827 , 0.181452 ) Distance 0.353028 Score 0.353027939796
Goal ( 0.33551 , 0.215684 ) Distance 0.398856 Score 0.398856341839
Goal ( 0.375566 , 0.0272634 ) Distance 0.376554 Score 0.376554191113
Goal ( 0.21686 , 0.377538 ) Distance 0.435388 Score 0.435388028622
Goal ( 0.367608 , 0.199818 ) Distance 0.418405 Score 0.418405354023
Goal ( 0.292041 , 0.177794 ) Distance 0.341904 Score 0.341904014349
Goal ( 0.291464 , 0.0159131 ) Distance 0.291898 Score 0.291898220778
Goal ( 0.26183 , 0.0634393 ) Distance 0.269405 Score 0.269405394793
Goal ( 0.38143 , 0.208382 ) Distance 0.43464 Score 0.434639632702
Goal ( 0.406729 , 0.237649 ) Distance 0.471068 Score 0.471068143845
Goal ( 0.501866 , 0.0632092 ) Distance 0.505831 Score 0.0
Goal ( 0.457999 , 0.00329687 ) Distance 0.458011 Score 0.45801115036
Goal ( 0.390452 , 0.0965814 ) Distance 0.40222 Score 0.402219891548
Goal ( 0.434123 , 0.167149 ) Distance 0.46519 Score 0.465190112591
Goal ( 0.393229 , 0.00859763 ) Distance 0.393322 Score 0.393322467804
Goal ( 0.345366 , 0.0758511 ) Distance 0.353597 Score 0.35359737277
Goal ( 0.386307 , 0.102126 ) Distance 0.399578 Score 0.399577766657
Goal ( 0.336772 , 0.0189301 ) Distance 0.337304 Score 0.337303906679
Goal ( 0.346533 , 0.164076 ) Distance 0.383413 Score 0.383413314819
Goal ( 0.539703 , 0.225825 ) Distance 0.585044 Score 0.0
Goal ( 0.551285 , 0.369727 ) Distance 0.663787 Score 0.0
Goal ( 0.34103 , 0.227711 ) Distance 0.410065 Score 0.410065293312
Goal ( 0.32915 , 0.258483 ) Distance 0.418514 Score 0.418513566256
Goal ( 0.382952 , 0.0642887 ) Distance 0.388311 Score 0.388310849667
Goal ( 0.389531 , 0.0984084 ) Distance 0.401769 Score 0.40176898241
Goal ( 0.446376 , 0.0837805 ) Distance 0.45417 Score 0.454170376062
Goal ( 0.371807 , 0.264352 ) Distance 0.456205 Score 0.456204712391
Goal ( 0.482233 , 0.0126013 ) Distance 0.482397 Score 0.482397198677
Goal ( 0.414589 , 0.0506601 ) Distance 0.417673 Score 0.417672842741
Goal ( 0.466734 , 0.0013218 ) Distance 0.466736 Score 0.466736286879
Goal ( 0.413015 , 0.182482 ) Distance 0.451532 Score 0.451532185078
Goal ( 0.443953 , 0.177751 ) Distance 0.478215 Score 0.478215098381
Goal ( 0.451884 , 0.161112 ) Distance 0.479746 Score 0.479746073484
Goal ( 0.24382 , 0.143106 ) Distance 0.282715 Score 0.282714575529
Goal ( 0.434467 , 0.0889946 ) Distance 0.443488 Score 0.443488001823
Goal ( 0.315476 , 0.0321738 ) Distance 0.317113 Score 0.317112833261
Goal ( 0.381061 , 0.249923 ) Distance 0.455707 Score 0.455706775188
Goal ( 0.3547 , 0.239709 ) Distance 0.428103 Score 0.428102880716
Goal ( 0.298898 , 0.0884478 ) Distance 0.31171 Score 0.311709791422
Goal ( 0.383175 , 0.236877 ) Distance 0.450482 Score 0.450482070446
Goal ( 0.287101 , 0.122161 ) Distance 0.31201 Score 0.312010228634
Goal ( 0.241777 , 0.127574 ) Distance 0.273371 Score 0.2733707726
Goal ( 0.374083 , 0.261884 ) Distance 0.456642 Score 0.456641972065
Goal ( 0.418268 , 0.0482001 ) Distance 0.421036 Score 0.421035766602
Goal ( 0.22629 , 0.211809 ) Distance 0.309951 Score 0.309951424599
Goal ( 0.438063 , 0.0938712 ) Distance 0.448008 Score 0.44800761342
Goal ( 0.413828 , 0.206317 ) Distance 0.462407 Score 0.462407082319
Goal ( 0.513056 , 0.0370367 ) Distance 0.514391 Score 0.0
Goal ( 0.414246 , 0.00601699 ) Distance 0.41429 Score 0.414289623499
Goal ( 0.356692 , 0.266694 ) Distance 0.445371 Score 0.445370733738
Goal ( 0.3928 , 0.0149765 ) Distance 0.393085 Score 0.393085181713
Goal ( 0.575505 , 0.387279 ) Distance 0.693679 Score 0.0
Goal ( 0.434131 , 0.167646 ) Distance 0.465376 Score 0.465376079082
Goal ( 0.231947 , 0.0631248 ) Distance 0.240383 Score 0.240383431315
Goal ( 0.345365 , 0.113917 ) Distance 0.363667 Score 0.36366713047
Goal ( 0.273483 , 0.0795363 ) Distance 0.284813 Score 0.28481349349
Goal ( 0.368781 , 0.055009 ) Distance 0.372861 Score 0.372860938311
Goal ( 0.342506 , 0.1865 ) Distance 0.389991 Score 0.389991104603
Goal ( 0.428175 , 0.181777 ) Distance 0.465163 Score 0.465163141489
Goal ( 0.395105 , 0.00415542 ) Distance 0.395127 Score 0.39512655139
Goal ( 0.366777 , 0.179642 ) Distance 0.408407 Score 0.408407062292
Goal ( 0.437527 , 0.357853 ) Distance 0.565233 Score 0.0209345707187
Goal ( 0.35866 , 0.173572 ) Distance 0.398452 Score 0.398452311754
Goal ( 0.429426 , 0.0053112 ) Distance 0.429459 Score 0.429458528757
Goal ( 0.369927 , 0.131169 ) Distance 0.392493 Score 0.392493098974
Goal ( 0.06843465399640294 , 0.568429588234 ) Distance 0.572534277268 Score 0.0
Goal ( 0.5147750961359098 , 0.214477467444 ) Distance 0.557668345563 Score 0.00214487825217
Goal ( 0.5452728896447266 , 0.191141804746 ) Distance 0.57780421745 Score 0.0
Goal ( 0.30801129564230373 , 0.515784960064 ) Distance 0.600753762595 Score 0.0
Goal ( 0.039012460316681444 , 0.54687370046 ) Distance 0.548263455206 Score 0.0
Goal ( 0.5034003155800061 , 0.151968032126 ) Distance 0.525838530838 Score 0.0181323631324
Goal ( 0.24697779203625653 , 0.452398744902 ) Distance 0.515424731797 Score 0.0
Goal ( 0.5517375105217909 , 0.372417210065 ) Distance 0.665664223817 Score 0.0
Goal ( 0.38487863794490007 , 0.321383189027 ) Distance 0.501416713059 Score 0.0557129681177
Goal ( 0.15146021659789566 , 0.557214711057 ) Distance 0.577432620684 Score 0.0
Goal ( 0.12888471580680413 , 0.622411089662 ) Distance 0.635615319594 Score 0.0135237302041
Goal ( 0.38487863794490007 , 0.321383189027 ) Distance 0.501416713059 Score 0.0294951007682
Goal ( 0.3492416150447276 , 0.371027590729 ) Distance 0.509540164031 Score 0.0
Goal ( 0.30801129564230373 , 0.515784960064 ) Distance 0.600753762595 Score 0.0
Goal ( 0.22111534881726275 , 0.627662550252 ) Distance 0.665471467812 Score 0.0
Goal ( 0.039012460316681444 , 0.54687370046 ) Distance 0.548263455206 Score 0.0
Goal ( 0.09518562052943719 , 0.657408645606 ) Distance 0.664263825353 Score 0.0
Goal ( 0.33175558519567355 , 0.417957412931 ) Distance 0.533619871569 Score 0.00988184947349
Goal ( 0.24470916389153152 , 0.481157414181 ) Distance 0.539810181558 Score 0.0
Goal ( 0.18701284965982173 , 0.574119411865 ) Distance 0.603810322053 Score 0.0
Goal ( 0.4797828158140165 , 0.334934088072 ) Distance 0.585125963962 Score 0.0020176757378
Goal ( 0.45618312093556007 , 0.274638412658 ) Distance 0.532474691919 Score 0.0
Goal ( 0.24697779203625653 , 0.452398744902 ) Distance 0.515424731797 Score 0.013216018764
Goal ( 0.35060688067328766 , 0.441774146287 ) Distance 0.56399430946 Score 0.0
Goal ( 0.07421062957676516 , 0.614973621782 ) Distance 0.619435043431 Score 0.0
Goal ( 0.3024348741662874 , 0.550037470748 ) Distance 0.627700623179 Score 0.00705281599078
Goal ( 0.38487863794490007 , 0.321383189027 ) Distance 0.501416713059 Score 0.501416713059
Goal ( 0.3492416150447276 , 0.371027590729 ) Distance 0.509540164031 Score 0.0424616803359
Goal ( 0.5075436141957251 , 0.262523346539 ) Distance 0.57141843494 Score 0.0
Goal ( 0.513806002145897 , 0.0655899647397 ) Distance 0.51797553158 Score 0.0323734707238
Goal ( 0.20780193782833892 , 0.624673734712 ) Distance 0.658330403524 Score 0.0
Goal ( 0.45136375797996914 , 0.226591669636 ) Distance 0.505047549015 Score 0.0123182329028
Goal ( 0.549479773562542 , 0.207628339929 ) Distance 0.587398969267 Score 0.0183562177896
Goal ( 0.35060688067328766 , 0.441774146287 ) Distance 0.56399430946 Score 0.00132704543402
Goal ( 0.417348 , 0.00374187 ) Distance 0.417365 Score 0.417365223169
Goal ( 0.302827 , 0.181452 ) Distance 0.353028 Score 0.353027939796
Goal ( 0.33551 , 0.215684 ) Distance 0.398856 Score 0.398856341839
Goal ( 0.375566 , 0.0272634 ) Distance 0.376554 Score 0.376554191113
Goal ( 0.21686 , 0.377538 ) Distance 0.435388 Score 0.435388028622
Goal ( 0.367608 , 0.199818 ) Distance 0.418405 Score 0.418405354023
Goal ( 0.292041 , 0.177794 ) Distance 0.341904 Score 0.341904014349
Goal ( 0.291464 , 0.0159131 ) Distance 0.291898 Score 0.291898220778
Goal ( 0.26183 , 0.0634393 ) Distance 0.269405 Score 0.269405394793
Goal ( 0.38143 , 0.208382 ) Distance 0.43464 Score 0.434639632702
Goal ( 0.406729 , 0.237649 ) Distance 0.471068 Score 0.471068143845
Goal ( 0.501866 , 0.0632092 ) Distance 0.505831 Score 0.0158072263002
Goal ( 0.457999 , 0.00329687 ) Distance 0.458011 Score 0.45801115036
Goal ( 0.390452 , 0.0965814 ) Distance 0.40222 Score 0.402219891548
Goal ( 0.434123 , 0.167149 ) Distance 0.46519 Score 0.465190112591
Goal ( 0.393229 , 0.00859763 ) Distance 0.393322 Score 0.393322467804
Goal ( 0.345366 , 0.0758511 ) Distance 0.353597 Score 0.35359737277
Goal ( 0.386307 , 0.102126 ) Distance 0.399578 Score 0.399577766657
Goal ( 0.336772 , 0.0189301 ) Distance 0.337304 Score 0.337303906679
Goal ( 0.346533 , 0.164076 ) Distance 0.383413 Score 0.383413314819
Goal ( 0.539703 , 0.225825 ) Distance 0.585044 Score 0.00450033728893
Goal ( 0.551285 , 0.369727 ) Distance 0.663787 Score 0.010536296027
Goal ( 0.34103 , 0.227711 ) Distance 0.410065 Score 0.410065293312
Goal ( 0.32915 , 0.258483 ) Distance 0.418514 Score 0.418513566256
Goal ( 0.382952 , 0.0642887 ) Distance 0.388311 Score 0.388310849667
Goal ( 0.389531 , 0.0984084 ) Distance 0.401769 Score 0.40176898241
Goal ( 0.446376 , 0.0837805 ) Distance 0.45417 Score 0.454170376062
Goal ( 0.371807 , 0.264352 ) Distance 0.456205 Score 0.456204712391
Goal ( 0.482233 , 0.0126013 ) Distance 0.482397 Score 0.482397198677
Goal ( 0.414589 , 0.0506601 ) Distance 0.417673 Score 0.417672842741
Goal ( 0.466734 , 0.0013218 ) Distance 0.466736 Score 0.466736286879
Goal ( 0.413015 , 0.182482 ) Distance 0.451532 Score 0.451532185078
Goal ( 0.443953 , 0.177751 ) Distance 0.478215 Score 0.478215098381
Goal ( 0.451884 , 0.161112 ) Distance 0.479746 Score 0.479746073484
Goal ( 0.24382 , 0.143106 ) Distance 0.282715 Score 0.282714575529
Goal ( 0.434467 , 0.0889946 ) Distance 0.443488 Score 0.443488001823
Goal ( 0.315476 , 0.0321738 ) Distance 0.317113 Score 0.317112833261
Goal ( 0.381061 , 0.249923 ) Distance 0.455707 Score 0.455706775188
Goal ( 0.3547 , 0.239709 ) Distance 0.428103 Score 0.428102880716
Goal ( 0.298898 , 0.0884478 ) Distance 0.31171 Score 0.311709791422
Goal ( 0.383175 , 0.236877 ) Distance 0.450482 Score 0.450482070446
Goal ( 0.287101 , 0.122161 ) Distance 0.31201 Score 0.312010228634
Goal ( 0.241777 , 0.127574 ) Distance 0.273371 Score 0.2733707726
Goal ( 0.374083 , 0.261884 ) Distance 0.456642 Score 0.456641972065
Goal ( 0.418268 , 0.0482001 ) Distance 0.421036 Score 0.421035766602
Goal ( 0.22629 , 0.211809 ) Distance 0.309951 Score 0.309951424599
Goal ( 0.438063 , 0.0938712 ) Distance 0.448008 Score 0.44800761342
Goal ( 0.413828 , 0.206317 ) Distance 0.462407 Score 0.462407082319
Goal ( 0.513056 , 0.0370367 ) Distance 0.514391 Score 0.0
Goal ( 0.414246 , 0.00601699 ) Distance 0.41429 Score 0.414289623499
Goal ( 0.356692 , 0.266694 ) Distance 0.445371 Score 0.445370733738
Goal ( 0.3928 , 0.0149765 ) Distance 0.393085 Score 0.393085181713
Goal ( 0.575505 , 0.387279 ) Distance 0.693679 Score 0.0
Goal ( 0.434131 , 0.167646 ) Distance 0.465376 Score 0.465376079082
Goal ( 0.231947 , 0.0631248 ) Distance 0.240383 Score 0.240383431315
Goal ( 0.345365 , 0.113917 ) Distance 0.363667 Score 0.36366713047
Goal ( 0.273483 , 0.0795363 ) Distance 0.284813 Score 0.28481349349
Goal ( 0.368781 , 0.055009 ) Distance 0.372861 Score 0.372860938311
Goal ( 0.342506 , 0.1865 ) Distance 0.389991 Score 0.389991104603
Goal ( 0.428175 , 0.181777 ) Distance 0.465163 Score 0.465163141489
Goal ( 0.395105 , 0.00415542 ) Distance 0.395127 Score 0.39512655139
Goal ( 0.366777 , 0.179642 ) Distance 0.408407 Score 0.408407062292
Goal ( 0.437527 , 0.357853 ) Distance 0.565233 Score 0.0
Goal ( 0.35866 , 0.173572 ) Distance 0.398452 Score 0.398452311754
Goal ( 0.429426 , 0.0053112 ) Distance 0.429459 Score 0.429458528757
Goal ( 0.369927 , 0.131169 ) Distance 0.392493 Score 0.392493098974
Goal ( 0.06843465399640294 , 0.568429588234 ) Distance 0.572534277268 Score 0.0
Goal ( 0.5147750961359098 , 0.214477467444 ) Distance 0.557668345563 Score 0.0
Goal ( 0.5452728896447266 , 0.191141804746 ) Distance 0.57780421745 Score 0.0
Goal ( 0.30801129564230373 , 0.515784960064 ) Distance 0.600753762595 Score 0.00682674730221
Goal ( 0.039012460316681444 , 0.54687370046 ) Distance 0.548263455206 Score 0.0228443106336
Goal ( 0.5034003155800061 , 0.151968032126 ) Distance 0.525838530838 Score 0.0276757121494
Goal ( 0.24697779203625653 , 0.452398744902 ) Distance 0.515424731797 Score 0.0
Goal ( 0.5517375105217909 , 0.372417210065 ) Distance 0.665664223817 Score 0.0
Goal ( 0.38487863794490007 , 0.321383189027 ) Distance 0.501416713059 Score 0.00486812342776
